"","X1","X2"
"1",14.429045,45.842109
"2",13.644146,42.175907
"3",25.067232,45.59428
"4",15.018001,45.58094
"5",28.211414,36.908337
"6",21.256648,42.639159
"7",158.180988,52.69851
"8",31.544468,40.763841
"9",30.735886,57.091031
"10",19.4038,48.59352
"11",22.82,49.11
"12",25.92213,59.14253
"13",26.563051,46.005345
"14",26.648889,46.048333
"15",57.103161,53.02078
"16",18.022149,48.62293
"17",25.986167,59.554547
"18",11.063551,46.058479
"19",30.881836,57.37822
"20",56.568948,52.990848
"21",43.361205,54.788825
"22",30.853823,57.385126
"23",24.951473,45.953788
"24",25.751745,55.90124
"25",-128.435409,52.517743
"26",13.720002,41.916324
"27",19.729594,48.659858
"28",14.317855,45.815838
"29",31.58008,56.724045
"30",72.527943,57.177215
"31",22.873504,45.294676
"32",146.32823,44.300903
"33",33.005164,56.445379
"34",46.109477,41.894982
"35",31.677584,58.532422
"36",-129.337125,56.01957
"37",25.588943,46.166239
"38",25.331875,46.050395
"39",40.293994,43.691303
"40",-135.479798,59.22968
"41",-6.324057,43.029056
"42",145.450233,43.867372
"43",23.198947,41.245187
"44",-127.574214,54.219027
"45",-110.794603,44.69734
"46",-6.265242,43.063863
"47",44.108724,55.050825
"48",48.415615,58.007257
"49",-6.303739,43.136221
"50",-6.490351,42.923454
"51",10.862324,46.003845
"52",75.726255,34.597977
"53",146.137905,44.270157
"54",25.83,46.68
"55",25.61,45.58
"56",12.61,47.34
"57",11.907024,60.760497
"58",-124.46467,54.765802
"59",-127.141155,59.657646
"60",-117.379952,53.254731
"61",146.234092,44.471095
"62",-115.465099,51.676081
"63",24.572328,45.749188
"64",38.143882,58.081598
"65",48.197174,57.584118
"66",33.792324,59.890803
"67",85.859041,53.990015
"68",85.850976,53.983395
"69",14.646484,45.696161
"70",34.142004,58.723143
"71",86.210383,53.510749
"72",-110.644254,43.988667
"73",40.386066,57.994926
"74",-119.41882,50.972328
"75",14.745312,45.653097
"76",-115.42784,54.834251
"77",-115.111917,51.124345
"78",30.127566,59.026757
"79",-111.051939,44.67403
"80",142.346172,46.66353
"81",85.805887,54.021781
"82",85.792552,54.031465
"83",34.15847,59.472345
"84",26.934545,58.562252
"85",-150.478354,60.408587
"86",-110.364729,44.48552
"87",-110.580451,44.699586
"88",26.272142,55.146591
"89",26.419278,45.970986
"90",-118.136474,52.850354
"91",-135.66405,57.015778
"92",31.688027,55.454176
"93",57.182648,53.059192
"94",31.698566,55.502877
"95",-136.496858,58.850883
"96",-136.882645,58.868463
"97",-136.899384,59.153546
"98",24.552066,45.702035
"99",48.410634,57.994692
"100",27.173656,59.172133
"101",0.962313,42.864151
"102",-110.018088,44.873891
"103",85.842662,53.98456
"104",113.432342,51.049626
"105",0.978225,42.871056
"106",85.882216,53.983651
"107",30.75861,57.090992
"108",-149.740614,68.01389
"109",19.811848,49.10354
"110",-110.024861,44.83543
"111",85.918072,53.961141
"112",26.824822,59.229313
"113",14.505417,45.609852
"114",43.21615,54.744495
"115",-110.012016,44.939349
